Authors,Reference,Year published,Report type,Country of study,Ocean,Region,Study type,Years of data,Focus species Common Name,Other Species,"Life stage studied (Adult, Juvenile, Larval, Egg)",Temperature information recorded,Depth distribution information was recorded,Role in ecosystem: Predator species identified,Role in ecosystem: Prey species identified,Sampling gear used,Hydroacoustic frequency,StockStructure,Distribution_DataType,Distribution_DistributionHabitatUse,GrowthLifeHistory_MassOrSize,GrowthLifeHistory_Condition,GrowthLifeHistory_Foraging,GrowthLifeHistory_Other,Survival_Survival&Mortality,Performance_Stress,Performance_Energy,Performance_Swimming,Performance_Other,Migration_Spawning,Migration_Other,Reproduction_Maturation,Reproduction_Spawning,Reproduction_EggAbundance,Reproduction_EggSizeOrWeight,Reproduction_Fecundity,Reproduction_Other,Productivity_BiomassOrAbundance,Productivity_Recruitment,Productivity_Other,URL,DFO_Region,,,,
"Munsch, S.H., Cordell, J.R., and Toft, J.D.","Munsch, S.H., Cordell, J.R., and Toft, J.D. 2016. Fine-scale habitat use and behavior of a nearshore fish community: nursery functions, predationavoidance, and spatiotemporal habitat partitioning. In Fish Ecology Along Modified Shorelines. University of Washington, Ann Arbor. pp. 113–151. Available from https://www.proquest.com/docview/1859585077?accountid=27308.",2016,thesis,USA,Pacific,"Washington, Oregon, or California","distribution, ecosystem",> 5 years,Pacific Herring,yes,not specified,no,yes,no,no,other,NA,NA,"abundance , size","density dependence, competitors, predators",not linked to a pressure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://media.proquest.com/media/pq/classic/doc/4303795221/fmt/ai/rep/NPDF?cit%3Aauth=Munsch%2C+Stuart+Harold&cit%3Atitle=Fish+Ecology+Along+Modified+Shorelines&cit%3Apub=ProQuest+Dissertations+and+Theses&cit%3Avol=&cit%3Aiss=&cit%3Apg=&cit%3Adate=2016&ic=true&cit%3Aprod=ProQuest&_a=ChgyMDIwMTIxMDIwMDkxODU3NToyNTUzMzkSBTg2OTg3GgpPTkVfU0VBUkNIIg8yMDUuMTkzLjExNC4yNDUqBTE4NzUwMgoxODU5NTg1MDc3Og1Eb2N1bWVudEltYWdlQgEwUgZPbmxpbmVaAkZUYgNQRlRqCjIwMTYvMDEvMDFyCjIwMTYvMTIvMzF6AIIBKVAtMTAwOTI1NS0yNzMwOC1DVVNUT01FUi0xMDAwMDIzOC01MTQ0MDkykgEGT25saW5lygFFTW96aWxsYS81LjAgKFdpbmRvd3MgTlQgMTAuMDsgV09XNjQ7IFRyaWRlbnQvNy4wOyBydjoxMS4wKSBsaWtlIEdlY2tv0gEWRGlzc2VydGF0aW9ucyAmIFRoZXNlc5oCB1ByZVBhaWSqAiVPUzpFTVMtRG93bmxvYWRQZGYtZ2V0TWVkaWFVcmxGb3JJdGVtygITRGlzc2VydGF0aW9uL1RoZXNpc9ICAVniAgFO8gIA%2BgIBToIDA1dlYooDHENJRDoyMDIwMTIxMDIwMDkxODU3MTo0MzA4NzU%3D&_s=2r7mg3Xzbt3YAzc%2BJrTPH9phGiA%3D,Pacific,,,,
"Olafsdottir, A. H., & Rose, G. A.","Olafsdottir, A. H., & Rose, G. A. (2013). Staged spawning migration in Icelandic capelin (Mallotus villosus): effects of temperature, stock size and maturity. FISHERIES OCEANOGRAPHY, 22(6), 446–458. https://doi.org/10.1111/fog.12032",2013,journal paper,other,Arctic,Greenland,migration,> 5 years,Capelin,no,not specified,yes,no,no,no,"hydroacoustics, pelagic trawl",38,NA,"standardized biomass, standardized abundance","temperature, density dependence, other pressure",NA,NA,NA,NA,NA,NA,NA,NA,NA,"temperature, density dependence, other pressure","temperature, density dependence, other pressure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arctic,,,,
"Sameoto, D D","Sameoto, D D 1971 The distribution of herring (Clupea harengus L.) larvae along the southern coast of Nova Scotia with some observations on the ecology of herring larvae and the biomass of macrozooplankton on the Scotian Shelf. Fisheries Research Board of Canada Tech Rep No. 252",1971,organization report,Canada,Atlantic,"Scotian Shelf (Divs. 4VWX), Bay of Fundy",distribution,< 5 years,Atlantic Herring,yes,"Larval, Egg",yes,yes,no,yes,"plankton net, other",NA,NA,"standardized abundance, TEK or LEK",zooplankton (secondary productivity),temperature,not linked to a pressure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not linked to a pressure,NA,NA,NA,NLMar,,,,
"Sameoto, D D","Sameoto, D D 1971 The distribution of herring (Clupea harengus L.) larvae along the southern coast of Nova Scotia with some observations on the ecology of herring larvae and the biomass of macrozooplankton on the Scotian Shelf. Fisheries Research Board of Canada Tech Rep No. 252",1971,organization report,Canada,Atlantic,"Scotian Shelf (Divs. 4VWX), Bay of Fundy",distribution,< 5 years,sand lances,no,Larval,yes,yes,no,yes,"plankton net, other",NA,NA,standardized abundance,zooplankton (secondary productivity),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not linked to a pressure,NA,NA,NA,NLMar,,,,
"Shackell, N.L., Shelton, P.A., Hoenig, J.M., and Carscadden, J.E.","Shackell, N.L., Shelton, P.A., Hoenig, J.M., and Carscadden, J.E. 1994. AGE-SPECIFIC AND SEX-SPECIFIC SURVIVAL OF NORTHERN GRAND BANK CAPELIN (MALLOTUS-VILLOSUS). Can. J. Fish. Aquat. Sci. 51(3): 642–649. The Committee, Copenhagen U6 - ctx_ver=Z39.88-2004&ctx_enc=info%3Aofi%2Fenc%3AUTF-8&rfr_id=info%3Asid%2Fsummon.serialssolutions.com&rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Abook&rft.genre=book&rft.title=Age+and+sex-specific+survival+of+northern+Grand+Bank+capelin+%28. doi:10.1139/f94-065.",1994,journal paper,Canada,Atlantic,Newfoundland and Labrador shelf ecosystem (Divs. 2GHJ3KL),distribution,> 5 years,Capelin,no,"Adult, Juvenile",no,no,no,no,"commercial pelagic trawl, hydroacoustics",NA,NA,"catch, age",NA,NA,NA,NA,NA,not linked to a pressure,NA,NA,NA,NA,NA,NA,not linked to a pressure,NA,NA,NA,NA,NA,not linked to a pressure,NA,NA,NA,NLMar,,,,
"Shotton, R","Shotton, R 1986 Results of the acoustic survey of herring in the southern Gulf of St. Lawrence and Sydney Bight, November 1985. CAFSAC Res Doc 86/84",1986,organization report,Canada,Atlantic,Southern Gulf of St. Lawrence,distribution,1 year,Atlantic Herring,no,"Adult, Juvenile",no,yes,no,no,"hydroacoustics, other","ECOLOG, 50kHz transducer",NA,"standardized biomass , size",not linked to a pressure,not linked to a pressure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QueGul,,,,
"Chambellant, M., Stirling, I., & Ferguson, S. H.","Chambellant, M., Stirling, I., & Ferguson, S. H. (2013). Temporal variation in western Hudson Bay ringed seal Phoca hispida diet in relation to environment. MARINE ECOLOGY PROGRESS SERIES, 481, 269+. https://doi.org/10.3354/meps10134",2013,journal paper,Canada,Arctic,Hudson Bay,ecosystem,> 5 years,Capelin,yes,not specified,no,no,yes,yes,predator,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arctic,,,,
"Chambellant, M., Stirling, I., & Ferguson, S. H.","Chambellant, M., Stirling, I., & Ferguson, S. H. (2013). Temporal variation in western Hudson Bay ringed seal Phoca hispida diet in relation to environment. MARINE ECOLOGY PROGRESS SERIES, 481, 269+. https://doi.org/10.3354/meps10134",2013,journal paper,Canada,Arctic,Hudson Bay,ecosystem,> 5 years,Arctic Cod,yes,not specified,no,no,yes,yes,predator,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arctic,,,,
"Chambellant, M., Stirling, I., & Ferguson, S. H.","Chambellant, M., Stirling, I., & Ferguson, S. H. (2013). Temporal variation in western Hudson Bay ringed seal Phoca hispida diet in relation to environment. MARINE ECOLOGY PROGRESS SERIES, 481, 269+. https://doi.org/10.3354/meps10134",2013,journal paper,Canada,Arctic,Hudson Bay,ecosystem,> 5 years,sand lances,yes,not specified,no,no,yes,yes,predator,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arctic,,,,
"Creaser, E P, Libby, D A","Creaser, E P, Libby, D A 1986 Tagging of Age 1 Herring (Clupea harengusL.) and Their Movement Along the Maine and New Brunswick Coasts. Journal of Northwest Atlantic Fishery Science 7: 43-46",1986,journal paper,"Canada, USA",Atlantic,West Atlantic (Canada + USA East coasts),stock structure,< 5 years,Atlantic Herring,no,Juvenile,no,no,no,no,"purse seine, weir",NA,tagging,abundance,NA,not linked to a pressure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QueGul,,,,
"Gregoire, F.","Gregoire, F. 2005. Update (September 2005) of the Atlantic mackerel (Scomber scombrus L.) landings in NAFO Subareas 3 and 4 in 2004. TT - Mise a jour (septembre 2005) des debarquements de maquereau (Scomber scombrus L.) des sous-regions 3 et 4 de l’OPANO en 2004. In Research document (Canadian Science Advisory Secretariat)/Document de recherche (Secretariat canadien de consultation scientifique). Secrétariat Canadian de consultation scientifique, Ottawa. Available from https://www.proquest.com/docview/1093472290?accountid=27308.",2005,organization report,Canada,Atlantic,"West Atlantic (Canada + USA East coasts), Atlantic Canada (all 6 Eastern Canada regions included in study)",stock assessment,1 year,Atlantic Mackerel,no,"Juvenile, Adult",no,no,no,no,NA,NA,NA,catch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QueGul,,,,
"Naman, S.M., Greene, C.M., Rice, C.A., Chamberlin, J., Conway-Cranos, L., Cordell, J.R., Hall, J.E., and Rhodes, L.D.","Naman, S.M., Greene, C.M., Rice, C.A., Chamberlin, J., Conway-Cranos, L., Cordell, J.R., Hall, J.E., and Rhodes, L.D. 2016. Stable isotope-based trophic structure of pelagic fish and jellyfish across natural and anthropogenic landscape gradients in a fjord estuary. Ecol. Evol. 6(22): 8159–8173. John Wiley & Sons, Inc., Department of Zoology, University of British Columbia, Vancouver, BC, Canada<U+202F>; NOAA Fisheries, Northwest Fisheries Science Center, Seattle, WA, USA<U+202F>; NOAA Fisheries, Mukilteo Research Station, Mukilteo, WA, USA<U+202F>; School of Aquatic and Fishery Sciences, Un. doi:10.1002/ece3.2450.",2016,journal paper,USA,Pacific,"Washington, Oregon, or California",ecosystem,1 year,Surf Smelt,yes,not specified,yes,no,yes,yes,pelagic trawl,NA,NA,"size , abundance",competitors,not linked to a pressure,NA,NA,NA,NA,NA,not linked to a pressure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.2450,Pacific,,,,
"Naman, S.M., Greene, C.M., Rice, C.A., Chamberlin, J., Conway-Cranos, L., Cordell, J.R., Hall, J.E., and Rhodes, L.D.","Naman, S.M., Greene, C.M., Rice, C.A., Chamberlin, J., Conway-Cranos, L., Cordell, J.R., Hall, J.E., and Rhodes, L.D. 2016. Stable isotope-based trophic structure of pelagic fish and jellyfish across natural and anthropogenic landscape gradients in a fjord estuary. Ecol. Evol. 6(22): 8159–8173. John Wiley & Sons, Inc., Department of Zoology, University of British Columbia, Vancouver, BC, Canada<U+202F>; NOAA Fisheries, Northwest Fisheries Science Center, Seattle, WA, USA<U+202F>; NOAA Fisheries, Mukilteo Research Station, Mukilteo, WA, USA<U+202F>; School of Aquatic and Fishery Sciences, Un. doi:10.1002/ece3.2450.",2016,journal paper,USA,Pacific,"Washington, Oregon, or California",ecosystem,1 year,Pacific Herring,yes,not specified,yes,no,yes,yes,pelagic trawl,NA,NA,"size , abundance",competitors,not linked to a pressure,NA,NA,NA,NA,NA,not linked to a pressure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.2450,Pacific,,,,
"Sherwood, G.D., and Rose, G.A.","Sherwood, G.D., and Rose, G.A. 2005. Stable isotope analysis of some representative fish and invertebrates of the Newfoundland and Labrador continental shelf food web. Estuar. Coast. SHELF Sci. 63(4): 537–549. doi:10.1016/j.ecss.2004.12.010.",2005,journal paper,Canada,Atlantic,"Newfoundland and Labrador shelf ecosystem (Divs. 2GHJ3KL), Southern Newfoundland (Divs. 3NOPs)","performance, ecosystem",1 year,Capelin,yes,Adult,no,yes,yes,no,commercial bottom trawl,NA,NA,abundance,not linked to a pressure,not linked to a pressure,NA,NA,NA,NA,NA,not linked to a pressure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NLMar,,,,
"Sherwood, G.D., and Rose, G.A.","Sherwood, G.D., and Rose, G.A. 2005. Stable isotope analysis of some representative fish and invertebrates of the Newfoundland and Labrador continental shelf food web. Estuar. Coast. SHELF Sci. 63(4): 537–549. doi:10.1016/j.ecss.2004.12.010.",2005,journal paper,Canada,Atlantic,"Newfoundland and Labrador shelf ecosystem (Divs. 2GHJ3KL), Southern Newfoundland (Divs. 3NOPs)","performance, ecosystem",1 year,Atlantic Herring,yes,Adult,no,yes,yes,no,commercial bottom trawl,NA,NA,abundance,not linked to a pressure,not linked to a pressure,NA,NA,NA,NA,NA,not linked to a pressure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NLMar,,,,
"Shotton, R, Randall, R G","Shotton, R, Randall, R G 1982 Results of acoustic surveys of the southwest Nova Scotia (NAFO Division 4WX) herring stock during February and July, 1981. CAFSAC Res Doc 82/44",1982,organization report,Canada,Atlantic,"Bay of Fundy, Scotian Shelf (Divs. 4VWX)",stock assessment,1 year,Atlantic Herring,no,"Adult, Juvenile",no,yes,no,no,"hydroacoustics, other, bottom trawl",NA,NA,standardized biomass,NA,not linked to a pressure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NLMar,,,,
"Chadwick, E M P, Nielsen, G A","Chadwick, E M P, Nielsen, G A 1987 Assessment of Atlantic herring in NAFO Division 4T, 1987. CAFSAC Res Doc 87/80",1987,organization report,Canada,Atlantic,Southern Gulf of St. Lawrence,stock assessment,1 year,Atlantic Herring,no,"Adult, Juvenile",no,no,no,no,"gillnets, purse seine, other",NA,NA,"catch, CPUE , age",NA,not linked to a pressure,NA,NA,NA,fisheries,NA,NA,NA,NA,NA,NA,not linked to a pressure,NA,NA,NA,NA,NA,fisheries,not linked to a pressure,NA,NA,QueGul,,,,
"Grégoire, F.","Grégoire, F. 2000. Update of the Atlantic mackerel (Scomber scombrus L.) catch at age (1990-1998) in NAFO subareas 2 to 4. In The Atlantic mackerel (Scomber scombus L.) of NAFO Subareas 2 to 6. Edited by F. Grégoire. Secr. can. de consult. sci. du MPO, Doc. de rech. / DFO Can. Sci. Advis. Sec. Res. Doc. 2000/21. pp. 323–412. Available from https://www.dfo-mpo.gc.ca/csas-sccs/publications/resdocs-docrech/2000/2000_021-eng.htm.",2000,organization report,Canada,Atlantic,Atlantic Canada (all 6 Eastern Canada regions included in study),stock assessment,> 5 years,Atlantic Mackerel,no,"Juvenile, Adult",no,no,no,no,"purse seine, gillnets, trap, line and handline",NA,NA,catch,not linked to a pressure,not linked to a pressure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QueGul,,,,
"Hedeholm, R., Grønkjær, P., & Rysgaard, S.","Hedeholm, R., Grønkjær, P., & Rysgaard, S. (2012). Feeding ecology of capelin (Mallotus villosus Müller) in West Greenland waters. Polar Biology, 35(10), 1533–1543. https://doi.org/10.1007/s00300-012-1193-4",2012,journal paper,other,Arctic,"Greenland, Baffin Bay",ecosystem,< 5 years,Capelin,no,Juvenile,no,no,no,yes,bottom trawl,NA,NA,"size, other",NA,NA,NA,not linked to a pressure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arctic,,,,
"Parker, R.R., and Kask, B.A.","Parker, R.R., and Kask, B.A. 1972. Fourth progress report on studies of the ecology of the outer Squamish estuary July 12, 1972. Fisheries Research Board of Canada, Nanaimo, B.C. Available from http://dfo-mpo.summon.serialssolutions.com/2.0.0/link/0/eLvHCXMwfV1LS8NAEB5Ki_g6KCpaH4x3U5JtN49jaWxFEEEFL0LZ3WTNoSZq2kP-vTNJKiLocVlYdneWb2e-eQEMxcB1fmFCZD3tGz9RvolsIK2RKgpsFGohXG0k5zvHs_AhlvFseNeBdaM6Jt9suXB0acnYY1o9G7yaH8WT2K0VhFwOlPR20YXe-P55Mmb0HRG-kOb.",1972,organization report,Canada,Pacific,Strait of Georgia,ecosystem,1 year,Surf Smelt,yes,"Juvenile, Larval",yes,yes,yes,yes,"purse seine, plankton net",NA,NA,NA,NA,not linked to a pressure,NA,"phytoplankton (primary productivity), zooplankton (secondary productivity)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://waves-vagues.dfo-mpo.gc.ca/Library/28451.pdf,Pacific,,,,
"Parker, R.R., and Kask, B.A.","Parker, R.R., and Kask, B.A. 1972. Fourth progress report on studies of the ecology of the outer Squamish estuary July 12, 1972. Fisheries Research Board of Canada, Nanaimo, B.C. Available from http://dfo-mpo.summon.serialssolutions.com/2.0.0/link/0/eLvHCXMwfV1LS8NAEB5Ki_g6KCpaH4x3U5JtN49jaWxFEEEFL0LZ3WTNoSZq2kP-vTNJKiLocVlYdneWb2e-eQEMxcB1fmFCZD3tGz9RvolsIK2RKgpsFGohXG0k5zvHs_AhlvFseNeBdaM6Jt9suXB0acnYY1o9G7yaH8WT2K0VhFwOlPR20YXe-P55Mmb0HRG-kOb.",1972,organization report,Canada,Pacific,Strait of Georgia,ecosystem,1 year,Pacific Herring,yes,"Adult, Juvenile, Larval",yes,yes,yes,yes,"purse seine, plankton net",NA,NA,NA,NA,not linked to a pressure,NA,"phytoplankton (primary productivity), zooplankton (secondary productivity)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://waves-vagues.dfo-mpo.gc.ca/Library/28451.pdf,Pacific,,,,
"Parker, R.R., and Kask, B.A.","Parker, R.R., and Kask, B.A. 1972. Fourth progress report on studies of the ecology of the outer Squamish estuary July 12, 1972. Fisheries Research Board of Canada, Nanaimo, B.C. Available from http://dfo-mpo.summon.serialssolutions.com/2.0.0/link/0/eLvHCXMwfV1LS8NAEB5Ki_g6KCpaH4x3U5JtN49jaWxFEEEFL0LZ3WTNoSZq2kP-vTNJKiLocVlYdneWb2e-eQEMxcB1fmFCZD3tGz9RvolsIK2RKgpsFGohXG0k5zvHs_AhlvFseNeBdaM6Jt9suXB0acnYY1o9G7yaH8WT2K0VhFwOlPR20YXe-P55Mmb0HRG-kOb.",1972,organization report,Canada,Pacific,Strait of Georgia,ecosystem,1 year,Eulachon,yes,"Larval, Juvenile",yes,yes,yes,no,"purse seine, plankton net",NA,NA,NA,NA,not linked to a pressure,NA,"phytoplankton (primary productivity), zooplankton (secondary productivity)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://waves-vagues.dfo-mpo.gc.ca/Library/28451.pdf,Pacific,,,,
"Sherwood, G.D., Rideout, R.M., Fudge, S.B., and Rose, G.A.","Sherwood, G.D., Rideout, R.M., Fudge, S.B., and Rose, G.A. 2007. Influence of diet on growth, condition and reproductive capacity in Newfoundland and Labrador cod (Gadus morhua): Insights from stable carbon isotopes ( delta super(1) super(3)C). Deep. Res. PART II-TOPICAL Stud. Oceanogr. 54(23–26): 2794–2809. Elsevier Science, P.O. Box 800 Kidlington Oxford OX5 1DX UK, [mailto:nlinfo-f@elsevier.nl], Marine Institute, Memorial University, P.O. Box 4920, St. John’s NL, Canada A1N 5R3, gsherwood@gmri.org. doi:http://dx.doi.org/10.1016/j.dsr2.2007.08.007.",2007,journal paper,Canada,Atlantic,Newfoundland and Labrador shelf ecosystem (Divs. 2GHJ3KL),ecosystem,> 5 years,Capelin,no,Adult,no,yes,yes,yes,predator,NA,NA,NA,NA,not linked to a pressure,NA,NA,NA,NA,NA,not linked to a pressure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NLMar,,,,
"Sinclair, M, Black, J, Iles, T D, Stobo, W","Sinclair, M, Black, J, Iles, T D, Stobo, W 1979 Preliminary analysis of the use of Bay of Fundy larval survey data in 4WX herring assessments. CAFSAC Res Doc 79/44",1979,organization report,Canada,Atlantic,Bay of Fundy,stock assessment,> 5 years,Atlantic Herring,no,"Larval, Adult",no,yes,no,no,"plankton net, gillnets",NA,NA,"standardized abundance, catch",NA,not linked to a pressure,NA,NA,NA,not linked to a pressure,NA,NA,NA,NA,NA,NA,not linked to a pressure,NA,NA,NA,NA,NA,NA,other pressure,NA,NA,NLMar,,,,
"Gaston, A. J., Smith, P. A., & Provencher, J. F","Gaston, A. J., Smith, P. A., & Provencher, J. F. (2012). Discontinuous change in ice cover in Hudson Bay in the 1990s and some consequences for marine birds and their prey. ICES JOURNAL OF MARINE SCIENCE, 69(7), 1218–1225. https://doi.org/10.4135/9781412953924.n678",2012,journal paper,Canada,Arctic,Hudson Bay,ecosystem,> 5 years,Arctic Cod,yes,not specified,no,no,yes,no,not specified,NA,NA,other,ice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arctic,,,,
"Gaston, A. J., Smith, P. A., & Provencher, J. F","Gaston, A. J., Smith, P. A., & Provencher, J. F. (2012). Discontinuous change in ice cover in Hudson Bay in the 1990s and some consequences for marine birds and their prey. ICES JOURNAL OF MARINE SCIENCE, 69(7), 1218–1225. https://doi.org/10.4135/9781412953924.n678",2012,journal paper,Canada,Arctic,Hudson Bay,ecosystem,> 5 years,Capelin,yes,not specified,no,no,yes,no,not specified,NA,NA,other,ice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arctic,,,,
"McQuinn, I H","McQuinn, I H 1987 A re-evaluation of the west coast of Newfoundland herring resource (NAFO Div. 4R). CAFSAC Res Doc 87/67",1987,organization report,Canada,Atlantic,Northern Gulf of St. Lawrence,stock assessment,1 year,Atlantic Herring,no,"Adult, Juvenile",no,no,no,no,"purse seine, gillnets, other, trap",NA,NA,"catch, age , CPUE",NA,not linked to a pressure,NA,NA,NA,fisheries,NA,NA,NA,NA,NA,NA,not linked to a pressure,NA,NA,NA,NA,NA,fisheries,not linked to a pressure,NA,NA,QueGul,,,,
"Overholtz, W.J., and Parry, B.L.","Overholtz, W.J., and Parry, B.L. 1985. Update of the status of the northwest Atlantic mackerel stock for 1985. Woods Hole, MA NMFS, NEFC. Woods Hole Lab. Ref. Doc. (85–13). Available from https://apps-nefsc.fisheries.noaa.gov/rcb/publications/series/whlrd/whlrd8513.pdf.",1985,organization report,USA,Atlantic,West Atlantic (Canada + USA East coasts),stock assessment,> 5 years,Atlantic Mackerel,no,"Juvenile, Adult",no,no,no,no,"bottom trawl, not specified",NA,NA,NA,NA,not linked to a pressure,NA,NA,NA,fisheries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fisheries,not linked to a pressure,NA,NA,QueGul,,,,
"Parks, D., Shaffer, A., and Barry, D.","Parks, D., Shaffer, A., and Barry, D. 2013. Nearshore Drift-Cell Sediment Processes and Ecological Function for Forage Fish: Implications for Ecological Restoration of Impaired Pacific Northwest Marine Ecosystems. J. Coast. Res. 29(4): 984–997. Allen Press Publishing Services, Fort Lauderdale. Available from https://www.proquest.com/docview/1406200939?accountid=27308.",2013,journal paper,USA,Pacific,"Washington, Oregon, or California",distribution,< 5 years,Surf Smelt,yes,Egg,no,no,no,no,sediment,NA,NA,abundance,"other pressure, transport (currents, etc)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other pressure, transport (currents, etc)",NA,NA,NA,NA,NA,NA,NA,https://www.jstor.org/stable/pdf/23486565.pdf?refreqid=excelsior%3Ac56bee743fea918a0d31a4134c1fcabf,Pacific,,,,
"Shibanov, V.N., Gorchinsky, K. V, and Mamylov, V.S.","Shibanov, V.N., Gorchinsky, K. V, and Mamylov, V.S. 2002. An attempt to estimate dynamics of capelin stock on the Grand Bank using trawlable biomass data from Canadian bottom trawl surveys, spring 1990-2001. Northwest Atlantic Fisheries Organization, Dartmouth, N.S. U6  - ctx_ver=Z39.88-2004&ctx_enc=info%3Aofi%2Fenc%3AUTF-8&rfr_id=info%3Asid%2Fsummon.serialssolutions.com&rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Abook&rft.genre=book&rft.title=An+attempt+to+estimate+dynamics+of+capelin+stock+on+the+Gra. Available from http://dfo-mpo.summon.serialssolutions.com/2.0.0/link/0/eLvHCXMwfV1LS8NAEB6KRVQ8KCpaH4x3U9rdbBuPtbXxIoIIHssmm63SdlOSqH_EH-zMphUR9BgSApvs7nyZfA8AKdqd4NeeEMo0jBJFe580wuqoEyZKRZwlJ6xMvKfrKI4eR2oUy_sGrIPquPlmy3mQlJY-9rit_tKepj_MkyQBBCHZ7JNwO63L5uDheTjYgS1XpJ4.",2002,organization report,Canada,Atlantic,"Newfoundland and Labrador shelf ecosystem (Divs. 2GHJ3KL), Southern Newfoundland (Divs. 3NOPs)",distribution,> 5 years,Capelin,no,not specified,no,yes,no,no,"commercial bottom trawl, hydroacoustics",NA,NA,"catch, standardized biomass",not linked to a pressure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NLMar,,,,
"Sinclair, M, Power, M","Sinclair, M, Power, M 2015 The role of larval retention in life-cycle closure of Atlantic herring (Clupea harengus) populations. Fish Res 172: 401-414",2015,journal paper,"Canada, other",Atlantic,"Bay of Fundy, North Atlantic (Eastern North America + Europe)",distribution,> 5 years,Atlantic Herring,no,Larval,no,no,no,no,plankton net,NA,NA,size,"transport (currents, etc)",not linked to a pressure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NLMar,,,,
"Castonguay, M., Simard, P., and Gagnon, P.","Castonguay, M., Simard, P., and Gagnon, P. 1991. Usefulness of Fourier Analysis of Otolith Shape for Atlantic Mackerel ( Scomber scombrus ) Stock Discrimination. Can. J. Fish. Aquat. Sci. 48(2): 296–302. doi:10.1139/f91-041.",1991,journal paper,Canada,Atlantic,"West Atlantic (Canada + USA East coasts), North Atlantic (Eastern North America + Europe)",stock structure,< 5 years,Atlantic Mackerel,no,"Juvenile, Adult",no,no,no,no,not specified,NA,otoliths,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QueGul,,,,
